,0
0,조아요조아요조아요조아요조아요조아요조아요
1,사이즈 선택에 있어서 교환도 하고 많이 힘들었지만 옷은 가격 대비 좋아요
2,원단이 잘 늘어나서 좋습니다 활동하는데 거슬리는게 없습니드
3,무탠다드 정말 인정!! 앞으로 자주 입을꺼 같앙!! 최고
4,할인해서 좋은상품 잘구매한것 같습니다~'' 이쁘고 깔금하고 사이즈도 딱 좋습니다~^^
5,기본 아이템이라 무난하게 다 잘 어울려서 좋아요
6,딱 좋습니다. 적당한 재질 잘맞는 크기. 요거보다 잘 만들었다는 울블레이저 질감이 궁금하구요
7,청바지나 슬랙스랑 같이입을려고 샀는데 좋아요
8,기본적으로 좋습니다. 편하고 쉽게 코디할 수 있을 거 같아요
9,역시 믿고사는 무탠다드 블레이져!!!! 편하고 좋아요
10,오프라인 스토어에서 입어보고 온라인 주문했습니다. 무난하게 입기 좋아요
11,신축성이 좋아서 여유로워서 좋고 히든밴딩슬랙스랑 같은원단이라고하니 같이 잘 입어볼게요
12,가성비 좋은 기본 블레이저입니다. 잘 입겠습니다.
13,역시 무신사 스탠다드 좋은 가성비 좋은 품질 만족합니다!!!
14,역시 아주 짱짱하고 가격대비 퀄리티 좋습니다 강추드려요
15,블레이져 자켓으로 케쥬얼하게 맞춰 입으려고 구매했습니다. 핏감 좋네요~ 번창하세요~
16,비싸지 않은 가격에 만족합니다 가성비 굿굿 좋아요
17,배송도 빠르고 좋네요!! 깔끔해서 기본템으로 가지고 있으면 좋습니다
18,L은 조금 작은 느낌 그러나 날씨 풀리면 앏은 티 안에 입고 아우터로 입으면 괜찮을 것 같습니다.
19,아버지 선물해 드렸는데 XL해도 됐을 거 같네요 그래도 나름 괜찮습니다
20,봄이나 가을에 입기에 딱 적당할 거 같아요. 코디도 편하구여
21,무난한 기본 블레이저 입니다! 후기보고 재질은 크게 기대 안 했는데 생각보다 괜찮아요
22,가장 기본적인 블레이저입니다. 어느 때나 입기 좋아요.
23,사이즈 넉넉하고 예뻐요! 170 남자한텐 딱 정핏이고 160 여자한텐 팔이 좀 남는데 넉넉하고 이뻐요! 수선하려구요
24,기본템으로 입기 좋은 무탠다드 아이템입니다. 언제나 질좋은 원단이라 기분좋네요
25,급하게 정장이 필요해서 샀는데 색감 괜찮고 입기 좋습니다
26,기장은 조금 긴데 그거 빼고는 다 괜찮아요 자주 입을거같아요
27,소매가 살짝 긴 느낌이 없지 않아 있다 좋다 좋아 가성비
28,어깨가 상당히 좁게나온 옷 같아요 아무래도 한국인 체형이 많이 반영된 것 같아요. 어깨가 조금이라도 있으시면 제 신체스펙 기본 라지는 깔고가야하고 몸무게 덩치 좀 더 있으시면 한치수 더 크게하고 소매랑 기장수선을 해야하려나요.. 사이즈가 상당히 애매한 느낌이에요 어깨때문에
29,무신사스탠다드 가서 입어보고 인터넷으로 주문했어요 ~ 믿고사는 무신사 ㅠㅠ 강력추천합니다 ~
30,이쁘고 편하고 만족스럽습니다 다음에도 구매할게요
31,클래식한 정장은 아니라 천만다행입니다. ^^ 캐주얼한 느낌이 저는 더 좋은데요 ^^
32,기장 딱 맞아요 블레이저 입문 기본템으로 추천합니다
33,기본 블레이저입니다. 할인할때 구매해서 기분이 좋아요.
34,배송도 빠르거 좋은 가격에 한벌 잘 샀습니다. 만족스러워요~
35,사이즈 넉넉해서 안에 껴입어도 충분해요 잘입을게요
36,가장 심프롼 블래이저 입니다. 어디든 어울릴꺼같아요
37,약간 타이트하지만 보기에는 좋네요 가성비좋아요
38,부드럽고 조금 얇은 편이고 입으면 깔끔합니다 추천
39,릴렉스드 베이식 블레이저 l사이즈 했다가 핏이 조금 애매해서 본 제품 xl사이즈 했는데 딱맞고 너무 좋네요
40,세미 오버핏으로 적당하고 편하고 예뻐서 좋아요
41,믿고 구매하는 무신사 스탠다드! 배송도 빠르고 진짜 짱입니다
42,면접보려고 삿느데 기본적이고 퀄리티가 상당하네요
43,배송 잘 왔습니다 옷이 예뻐서 잘 입고 다닐 거 같습니다
44,무탠다드 블레이저 그냥 무난해요 아무때나 입기 좋아요
45,소재감이 좋아서 데일리로 편하게 입기 좋습니다.
46,"색상은 퓨어한 블랙느낌이고, 경조사 있을때 입기 좋구 평소에도 입기 좋습니다!"
47,좋은거 같아요 작지도 크지도 않고 오버핏 굿입니다ㅐ
48,상품 배송이 매우 빠르고 제품도 매우매우 만족합니다
49,너무 작아서 놀랐어요 입을 순 있는데 격한 움직임은 힘들어요 한사이즈 크게 사는걸 추천해요
50,결혼식에 갈때 입으려고 급하게 샀는데 생각보다 예쁘고 좋앗어요
51,진짜 베이직함 봄가을이 기대되는 블레이져 미리 구매함
52,편하게입을려고 주문했는데 생각보다 너무이쁘네요!!!
53,디자인 깔끔하고 너무 마음에 듭니다 베이직 블레이저 핏이 제일 예뻐요
54,기본템 일반적임 무난무난무난 데일리하게 더할말은없다
55,생각보다 텐션감이 있습니다 재질은 괜찮은것 같고요 약간 크게 입는게 좋은거 같아요
56,사람들이 많이 사는 만큼 말이 필요없을 정도로 무난한 아이템이에요
57,짝 적당한 입문자용으로 좋은 블레이저 재질도 좋네여
58,맘에 들어요 깔끔하게 입으려고 구매했는데 아주 맘에들어요 다른색도 구매하고싶어요!!
59,정말 스탠다드한 마이입니다 막입는용으로 샀어여
60,너무너무너무 이쁘고 맘에들어요 담에 또 사고싶어요
61,핏이 너무 이쁘고 가격도 너무 좋고 질도 너무 좋습니다 역시 무탠다드!
62,세미와이드팬츠랑 얘랑세트맞나요? 사이즈는 딱맞고 같이 입으니 슈트느낌나고 깔끔합니다
63,전에 m사이즈 입었는데 살짝 작은것 같아서 이번에 L사이즈로 샀는데 완전 만족해요~
64,진짜 군더더기 하나 없이 너무 이쁩니다 클래식함의 끝판인듯
65,유용하게 잘 사용하고 있급니다 하히호하 훔칫뿥이
66,L로 샀단가 소매가 길어 M사이즈로 샀더니 만족합니다
67,기본중의 기본 기본을 찾으신다면 이 녀석이 답입니다.
68,딱 그냥 기본핏이여서 좀 크게입으실분들은 한사이즈 크게해서 입는기 나을것같네요 이가격에 블레이저 구할수있다는것에 감사합니다👍
69,이번에 처음 구매했는데 편하고 좋아요 가성비 좋아요
70,언제나 믿고사는 무신사 실망시키지 않습니다 한 번씩 사입으세여
71,배송 상품 모두 좋았습니다 다음에도 구매하고 싶어요
72,예뻐서 2년 정도 잘 사용하고 다시 구매합니다 너무 좋아요!!
73,무탴다드 블래이져 셋업으로 입어도 좋고 다른 바지에 코디해서 입기좋아요
74,딱 제 몸에 정핏이네요 xl 살까 하다가 l사서 만족합니다
75,가격도 적당하고 과하지 않은 스타일링에 적합합니다.
76,깔끔하게 떨어지는 핏이라 예쁘네요 두번 사세요
77,블레이저 색상도 적당하고 사이즈도 맞고 좋습니다!
78,색상 디자인 전부 무난하고 가볍게 입기 좋습니다.
79,처음 블레이저인데 많이 유용하게 입을거 같아요 이쁘네요
80,너무너무 좋아요 멋지도 이쁘고 완벽해요 이건 ㅊ회고야
81,공식적인 자리 많아지면서 블레이저찾다가 구매했는데 좋네요
82,기장감이 살짝 아쉬운거 빼고는 전체적으러 만족함
83,봄가을 무난하게 입을수있는 자켓입니지다 적당히 두껍고 코디하기편하고 너무 이쁩니다
84,사회 초년생을 위한 저렴한 블레이져 취뽀 후 맞춤으로 갈아탈예정
85,색감 너무좋고 소재도 딱맞아요 잘입을것 같습니다
86,사이즈 좋고 이쁨미다 역시 무탠다드 강추입니다
87,같은 소재 바지를 너무 잘 입고 있어 함께 구매했습니다
88,리얼루 굳입니다 정말로요~~~ 정핏이에요 근데 오버사시는거 추천
89,기본템으로 하나 필요할 것 같아서 샀는데 너무 만족합니다 특히 배송시에 큰 박스에 안구겨지게 옷걸이까지 넣어주셔서 배송 후 보관함에서 가져가는데까지 꽤 걸렸는데도 그대로 받았습니다!
90,면접 복장으로 샀는데 딱 무난하고 깔끔하네요 굿
91,정장사기아까울때 그냥 사서입기 좋아요 단추디테일 좋아요
92,기본핏으로 무난하게 좋습니다~~ 세일할때 구매해서 더만족ㅎㅎ
93,사이즈도 좋고 핏도 좋고 전체적으로 만족합니다
94,핏이 잘 떨어지고 좋네요 자주 이용 할 것 같습니다
95,슬랙스 아니어도 다른 옷이랑 매치할 수 있어서 좋아요
96,기본템이라는게 맞는거 같아요 어느 옷에도 잘 맞고 좋아요
97,딱 적당해요 나이가 드니까 경조사 때 급하게 입는 일들이 발생해서 차에 두려고 샀어요. 사이즈도 잘 맞고 좋습니다.
98,블레이저가 없어서 하나 장만햇는데 역시 무신사 이쁩니다ㅎㅎ
99,오버핏말고 무난한 핏 좋아하시는 분들이라면 매우 만족할 것 같네요. 색감이랑 재질이 매우 망족입니다
100,좋습니다 세미정장 스타일 노땅스탈 노노 30대에겐 굿
101,사이즈와 핏이 생각했던 대로 이쁘게 떨어집니다.
102,기장이 생각보다 길어서 버튼을 모두 잠가야 핏이 더 사는 거 깉습니다 그래도 예쁘게 잘 입고 있어요
103,기본템으로 하나 사둬도 나쁘지 않은 무탠다드 블레이저
104,블레이저가 하나도없어서기본으로샀어요 만족합니다
105,"무신사스탠다드는 가성비 좋고, 디자인도 훌륭합니다."
106,색상 좋고 두께감 좋고 핏 좋고 다 좋아요 다음에 또 구매할께요
107,품질 좋습니다 다른 SPA브랜드 XL정도 되는것 같습니다
108,총장이 좀 긴 거 같아요 조금만 짧았으면 좋겠어요
109,검은색 정장 하나 갖고있는 용도로 샀슴니다 자주입지 않지만 맘에 듭니다! 무탠다드 가성비 굿
110,색감도 그렇고 핏도 마음에 들어요. 잘 입고 다니는중
111,핏이 딱 스텐다드네여 다음엔 오버핏으로도 하나 더 살까 생각중입니당
112,남동생 선물로 사줬는데 너무 만족하네요! 감사합니당~~!
113,다른건 기장이 맞는데 어깨가 엄청 좁게 나왔습니다
114,그냥 딱 정석 블레이저느낌입니다. 살짝 오버한 감이있어 포멀한 자리에는 안어울릴수도..?
115,배송도 빠르고 포말한 느낌 주는 정장 상의라 좋아여
116,블레이저 살까? 고민되면 이거 사는게 맞는 것 같네요 ㅎㅎ
117,블레이저 사이즈가 딱 맞고 디자인도 깔끔하니예뻐요
118,가성비가 너무 좋네요!! 기본 블레이저인데 이정도 가격대면 너무 좋습니다
119,L로 할까 고민했지만 본인스펙에 XL가 정확했다 L 했으면 품이랑 겨랑 꼈을듯 버튼잠가도 껴보였을듯 XL 찰떡이다
120,생각보다는 두께가 얇은데 그렇다고 여름용은 아니고 봄가을정도
121,두께도 적당하고 사이즈도 맞음 소매가 약간 짧음
122,딱맞네요 사실 어깨가 좀만 더 넓었다면 좋을 것 같지만 그냥 베이직하게 입을만 합니다
123,사이즈도 정핏이고 사이즈도 잘 맞아 떨어져서 예뻐요
124,무난하고 가성비 좋은 블레이저에요! 캐주얼하게 입거나 조금 포멀한 자리 있을때 편하게 살수 있을 제품!
125,기본으로 잘 입고 다녀요!! 꾸안꾸로도 꾸꾸로 잘입어요
126,더스티 카키 먼저 산 후에 추가 구매했는데 엉덩이 실짝 덮는 기장감이라 긴거 같긴한데 베이직으로 캐쥬얼 하게 입기 좋은 핏감이랑 기장이예요 기본 색감답게 깔끔한 느낌이라 좋네요
127,잘 받았습니다~~ 매우매우 좋네요~ 맘에 아주 쏙듭니다
128,마감처리 빼곤 다 괜찮고 가성비 좋고 입문용으로 좋아요
129,제품 스테디 한 느낌이라서 입기 좋습니다. 포멀하게 그리고 차려입을 때도 넥타이 입으면 충분하네요.
130,말이 필요없는 무난함과 스탠다드함 그 잡채입니다
131,무난하고 깔끔해서 데일리로 입어도 나쁘지 않을 것 같음
132,깔끔하고 아무데나 입기 좋습니다. 폼은작고 기장은 조금 길어요 저한테눈
133,가상비 좋아요 겨울에 코트나 패딩안에 입기도 줗네요
134,제 체형에 정말 딱 맞어요 급하게 셋업필요햐서 구매했는데 좋습니다
135,핏이 예쁘고 옷감이 좋네요 품질이 좋아서 잘 입을 것 같아요
136,아주아주 좋아용 누무 좇고 다음이듀 뀩 구매하고싶여용
137,음 뭐 무난합니다 그냥 딱 검정 블레이져 좋습니다
138,깔끔하고 좋아요. 무탠다드 역시 퀄좋아요. 저한텐 살짝커서 오버핏 같아요.
139,기본템으로 필수라고 생각합니다 꼭 추천드려요
140,역시 무신사 스탠다드 가성비는 최고입니다 결혼식때 입었는데 유용하게 입었어요
141,사이즈가 생각했던 것보다 작습니다 ㅠㅠ 제일 큰 사이즈라서 구매했지만 제 체격이신 분들은 참고하시면 좋을 것 같아요!
142,깔끔하고 저렴하고 퀄리티도 좋아요. 색깔별로 3벌 주문했습니다
143,"별기대없이 구매했는데, 생각보다 퀄리티가 좋네요~^^ 다른 색도 구매할예정입니다"
144,진짜 무난한 결혼식 장례식용 기본마이인듯 합니다
145,ㄹㅇ 가성비 미쳤습니다 이 가격에 이 정도로 핏 잘나오고 아무데나 걸칠 수 있는 게 있는 제품 찾기 힘든데 너무 잘 샀네요
146,딱 가격대에맞는 무난한 디자인과 품질이네요 만족합니다
147,L 살려다가 XL 샀어요 안에 니트같은거 입으실거면 저처럼 사이즈가세요
148,역시 무텐다드 옷 진짜 잘 만듭니다 핏 이뻐여 옷 진짜 이뻐요
149,아주좋아요 핏도 좋고 회색 블랙 이렇게 두개째 입네요
150,입문블레이저로 아주가성비가 좋은것같아요 퀄짱좋네여
151,약간 루즈하게 떨어져서 자연스러운 핏이 형성됩니다
152,어디다가 입어도 무난하게 잘 맞느네 무신사 스탠드 역시나입니다
153,제 사이즈엔 딱입니다 아주 좋아요 어깨가 좀 작자만 총장은 아주 마음에 듭니다
154,길이가 살짝만 짧으면 정말 이쁠거 같아요 아쉬워용
155,사이즈 선택 고민을 많이했는데 2XL로 선택하길 잘했습니다. 딱 레귤러핏으로 원하는 핏이네요
156,지난번에 구매했다가 마음에 들어서 다른 색으로 재구매합니다
157,적당한 두께라서 간절기에 입기 딱이에요 기본블레이져로 많이 입을듯 합니다!
158,결혼식장에 입고 갔는데 깔끔해서 좋았습니다 . 얇으니까 안에 하얀 니트같은거 입으면 딱이에요~
