,0
0,디자인 기장 문안하고 깔끔해요
1,단추나 지퍼가 없지만 가볍게 걸치긴 좋았어요 실내에서 자주 걸치고 있었는데 보시는 분들이 단점 알고도 구해달라 하셔서 몇번이나 구입했어요 단점은 털빠짐. 안감이 약해서 털이 힘없이 날리는데 가격이 다 용서? 옷은 귀여워요
2,너무 스키니함..;
3,예상보다 괜찮음!
4,그냥그래요
5,두었다 조금더 크면 입히려고 한치수 큰 사이즈도 함께 주문했습니다. 가격도 저렴하고 아주 만족합니다.
6,아이 잠옷으로 정말 잘 산거 같습니다. 시원한 재질에 잘 늘어나고 편하게 입힐수 있을거 같습니다. 아이도 좋아합니다.
7,좋습니다 ㅎㅎ 배송 빠르고 제품 좋은 가격에 잘 구입 합니다 ㅎㅎ 사이즈 괜찮아요 ㅋㅋ 배송 빠르고 제품 좋은 가격에 잘 구입 합니다 ㅎㅎ 가격 좋아요
8,가격대비 만족스런 상품입니다^^
9,가격대비 만족스런 상품입니다^^
10,가격대비 만족스런 상품입니다^^
11,만족해요
12,만족해요
13,만족해요
14,좋아요...
15,사이즈 잘 맞고 괜찬아요.
16,블랙색상 사고 맘에들어서 다른 색으로 또 구입 부드럽고 가격대비 좋아요~~
17,보플도 잘 안생기고 부드럽고 길이도 적당하니 딱 좋음
18,가격대비해서 좋아요
19,가격대비해서 좋아요
20,그냥저냥 가격만큼입니다 외출복으로밉기에는 살짝 거시기하네요
21,보통 이틀이면 배송되는데 이번엔 3일걸렸어요. 상품상태는 양호해요.컬러감 사진에서 보던것과 같구요. 니트재질에 촉감 양호해요. 신축성도 적당하고 가격대비 괜찮은거 같애요. 상품에 만족해요~
22,3일만에 배송 받았어요.평균2일이면 오는데 이번엔 좀 늦었네요.신축성 있는편이고 촉감양호. 컬러가 넘 별로이면 어쩌나 했는데 뭐 이컬러도 나름 괜찮은거 같애요.소매끝과 목폴라끝에 블랙컬러라인이 얇게 들어가 있어서 덜 심심하네요 소매나팔인것도 나름 괜찮네요.가격이 참 착해요ㅋ
23,요번엔 배송 좀 느렸어요.3일만에 받네요. 회색택배봉투에 고이~ 접혀 담겨왔어요ㅎ 상품상태 양호하구요. 사진으로 봤던것과 같네요. 반목폴라티가 필요해서 구입했어요. 촉감양호 해요.슬림하니 붙는 사이즈예요. 가격대비 만족해요~
24,감사합니다. 잘입겠습니다
25,감사합니다
26,감사합니다 사장님
27,감사합니다
28,감사합니다
29,이쁘게 잘 입을께요
30,이쁘게 잘 입을께요
31,이쁘게 잘 입을께요
32,색깔별로 샀어요.봄에 입으면 좋을듯 합니다
33,색깔별로 샀어요.봄에 입으면 좋을듯 합니다
34,색깔별로 샀어요.봄에 입으면 좋을듯 합니다
35,색깔별로 샀어요.봄에 입으면 좋을듯 합니다
36,생각했던것과 좀 다르네요...
37,생각했던것과 달라서 좀 .....
38,맨투맨 사이즈맞는옷을 찾기힘들었는데 일단 사이즈는 맞지만 허리부분이 좀 타이트해서 불편하네요
39,따뜻하고 예뻐요.
40,"얇은 게 약간 흠인데, 부드럽고 따뜻해요."
41,까칠까칠해서 못 입겠어요.
42,싸고좋아요
43,싸고좋아요
44,싸고좋아요
45,싸고좋아요
46,싸고좋아요
47,싸고좋아요
48,생각보다 괜찮아요.
49,아주좋아요 착한가격 매우만족요 이뻐요
50,좋아요
51,미니파세요.
52,생각보다 조금 실망인데 저렴한가격 잘입어요
53,사진하고 좀 다른데 색깔은 이뻐서 그냥저냥.
54,좋아요
55,tgnb
56,rtb
57,gb
58,주문했을때는 바지라고 생각했는덕 다른상품이 옴 주문을 정말 착각해서 주문한건지 살면서 한번도 그런적이 없었는데 증명할 방법도 없고 진짜 오주문 했을수도 있고 귀찮기도 하고 취소 안함
59,저렴하게 잘 구입
60,니트 좋너요
61,할인받아 싸게 샀어요. 편하게 입기 좋아요.
62,할인받아 싸게 샀어요. 부담없이 입기에 좋네요.
63,할인받아 싸게 샀어요. 가성비 좋네요.
64,편하게 입고 있어요
65,길이가 짧아요 아~ 사진상 안그래 보야는뎅 ....속아네요
66,송장내역만확인하고해당상품출고가안된줄알고판매자분께문자보냈는데뜯어보니상품이들어있어서急깜놀했습니다.^^;;;가성비좋게잘산것같고모든상품에대해만족스럽습니다.좋은상품감사합니다.수고하세요.
67,좋아요~좋아요~
68,편하고 따뜻해요.
69,사이즈 잘못 구입해 좀 크지만 따뜻하고 편해서 좋습니다.
70,이뻐요. 이 원피스 자주 입을 것 같아요
71,깔끔해서 좋네요.
72,생각했던것과 좀 다르네요...
73,생각했던것과 달라서 좀 .....
74,맨투맨 사이즈맞는옷을 찾기힘들었는데 일단 사이즈는 맞지만 허리부분이 좀 타이트해서 불편하네요
75,따뜻하고 예뻐요.
76,"얇은 게 약간 흠인데, 부드럽고 따뜻해요."
77,까칠까칠해서 못 입겠어요.
78,싸고좋아요
79,싸고좋아요
80,싸고좋아요
81,싸고좋아요
82,싸고좋아요
83,싸고좋아요
84,생각보다 괜찮아요.
85,아주좋아요 착한가격 매우만족요 이뻐요
86,좋아요
87,미니파세요.
88,생각보다 조금 실망인데 저렴한가격 잘입어요
89,사진하고 좀 다른데 색깔은 이뻐서 그냥저냥.
90,좋아요
91,tgnb
92,rtb
93,gb
94,주문했을때는 바지라고 생각했는덕 다른상품이 옴 주문을 정말 착각해서 주문한건지 살면서 한번도 그런적이 없었는데 증명할 방법도 없고 진짜 오주문 했을수도 있고 귀찮기도 하고 취소 안함
95,저렴하게 잘 구입
96,니트 좋너요
97,할인받아 싸게 샀어요. 편하게 입기 좋아요.
98,할인받아 싸게 샀어요. 부담없이 입기에 좋네요.
99,할인받아 싸게 샀어요. 가성비 좋네요.
100,편하게 입고 있어요
101,길이가 짧아요 아~ 사진상 안그래 보야는뎅 ....속아네요
102,송장내역만확인하고해당상품출고가안된줄알고판매자분께문자보냈는데뜯어보니상품이들어있어서急깜놀했습니다.^^;;;가성비좋게잘산것같고모든상품에대해만족스럽습니다.좋은상품감사합니다.수고하세요.
103,좋아요~좋아요~
104,편하고 따뜻해요.
105,사이즈 잘못 구입해 좀 크지만 따뜻하고 편해서 좋습니다.
106,이뻐요. 이 원피스 자주 입을 것 같아요
107,깔끔해서 좋네요.
108,따뜻하고 좋아요
109,비니수 옷을 지난 여름부터 구입했었는데 가격 대비 옷들이 다 좋네요. 맘에 듭니다.
110,깔끔해서 맘에 들어 주문했는데 소매가 짧네요. 그 부분만 빼면 다 맘에 드는데..
111,가격 대비 넘 좋아요.
112,빠른 배송 감사합니다. 가디건 이쁘네요.
113,얇아서 봄에 좋아요.
114,얇아서 봄 계절에 좋아요.
115,두꺼워서 따뜻해요. 감사합니다.
116,운동할때 귀엽게 잘 입고 있어요 감사~^^
117,좋아요
118,좋아요
119,좋아요
120,좋아요
121,감사합니다
122,감사합니다
123,저렴하게 잘 구입한거같아요..질도 도톰하니 좋아요
124,완전득테요
125,완전득템요
126,good
127,좋아요
128,좋아요
129,좋아요
130,가성비 굿이네요
131,아주 맘에 드네요 잘샀어요
132,재질이 좋고 편해요
133,맘에들어요 가성비굿이네요
134,가성비좋아요 맘에듭니다
135,가성비갑
136,딱그가격
137,조아요
138,편하고마음에들어요
139,좋아요
140,좋아요
141,"블랙 샀는데 괜찮아요. 브라운도 구입할까 싶었는데, 품절이군요."
142,잘 받았습니다 눌린자국이 안펴져요
143,감사합니다
144,감사합니다
145,감사합니다
146,"빠른 배송 받았어요~우리지역에 택배가 도착했는데 오후 1시가 다 되어도 배송출발 안하길래 못 받나 했는데..놀랍게도 배송되었더군요.대한통운 택배는 배송조회가 좀 ..오류가 많다 해야 하나..?..암튼 뭐 결론적으로 오늘 받았으니 좋으네요 ㅎㅎ 이 가디건은 다른 컬러들도 가지고 있어요. 핑크컬러빼곤 다 가지게 되었네요 ㅋㅋ 몸에 슬림하게 붙는 타입인데 부담스럽지는 않아요! 전 평소 상의 55입어요.(호리호리한 타입) 55입으시는 분들은 착용하시면 이뿌ㅡ게 핏 될거예요~ 마른66도 괜찮을듯,신축성이 있는 편으로 나름 편해요ㅋ    ... 더보기"
147,"여기서 종종 옷 구매하는데요. 잘보면 저렴한 가격에 괜찮은 상품들을 구입할수 있어 좋아요ㅎ 이 가디건은 요전에 다른 컬러 구입했던건데요. 촉감과 신축성도 양호하고,또 몸에 슬림하니 핏되는게 좋더라구요.저는 평소 상의 55입어요.55들이 입으면 딱 좋구요. 마른 66도 착용시 핏이 나쁘지 않을듯요. 암튼 맘에 들어서 좀 밝은 컬러들도 갖고 싶더라구요, 그래서 사진상에 보이는 베이지와 이이보리 같이 구입했어요.  ... 더보기"
148,"상품 잘 받았어요~ㅎ 이 상품은 사실 저번에 주문넣었다가 혹시 디자인이 좀 이상할까 싶어 취소 했던건데...혹시나 하고 다시 주문해봤어요.주문하길 잘한듯요 ㅋ생각보다 디자인이 괜찮아요~ 소매부분이 좀 거슬렸는데 소매끝이 생각한것보단 넓지 않아서 다행였어요. 나름 이쁘네요~ 촉감도 양호,신축성 있구요. 상품 구매한것에 만족해요!"
149,"회색 택배 봉투에 주문한 상품들이 다 같이 곱게 접혀 담겨왔습니다~ 평소55사이즈 입는데요.이 상품 착용해보니 적당히 여유 있고 좋아요,,컬러도 나쁘지 않네요~두께로 봐서는 봄,가을용이긴 하나 두거운 아우터 안에 얇은 폴라티와 함께 입으면 될거 같애요.어차피 실내들어가면 따뜻하니까요 ㅎ 촉감 양호하고 신축성 있어요,상품에 만족해요~"
150,잘 받았습니다. 감사합니다.
151,잘 받았습니다. 감사합니다.
152,색깔과 디자인이 생각보다 더 예뻐요. 많이 파세요.
153,잘받았어요. 많이 파세요.
154,같은제품 색상만 다르게 구매ㅎ
155,셔츠에 입으니 딱좋아요
